,Group_1,Group_2,Group_3,Group_4,Group_5
2023-01-04,6.6440242549483735,5.785536613180171,4.143925001691493,4.968321589943193,3.6841130850983417
2023-01-05,6.827467393198939,5.9346548244500035,4.247130300848377,5.090303467907685,3.7589688905689846
2023-01-06,6.94115096691899,5.961105548927368,4.248796550443795,5.0699092549964035,3.723292410225094
2023-01-09,7.035703501525886,6.01626494288609,4.277496998776261,5.098658995842477,3.7261728414370534
2023-01-10,7.170011892109313,6.114919231970789,4.329774496577623,5.154554482813123,3.7425204563632826
2023-01-11,7.296320178733629,6.138808301651046,4.3566483460543,5.168602509382953,3.7254698720389516
2023-01-12,7.326853549836138,6.168330683922091,4.370697919047655,5.17607927422368,3.726422392704552
2023-01-13,7.376870555855115,6.160243261606479,4.345375550182929,5.161552097737597,3.7137278624421617
2023-01-17,7.278238141071339,6.081068860915991,4.279708109208657,5.080935763100135,3.638811202448683
2023-01-18,7.132282183610893,6.008795384022256,4.233614351482485,5.042731859080343,3.622666622732867
2023-01-19,7.369066201328522,6.142537215250122,4.303982122471016,5.100092833380915,3.6447802063010286
2023-01-20,7.589712691567954,6.233742212752607,4.3542619216958895,5.1361898924835945,3.6464218492158658
2023-01-23,7.540614847161191,6.212125811659598,4.341070198950374,5.153075367766063,3.653945021789603
2023-01-24,7.560101988217089,6.218413166758075,4.334503301280352,5.1579678346665725,3.6702495822849173
2023-01-25,7.677741223115919,6.29276189246626,4.360493724517857,5.200305451311737,3.6734156301317853
2023-01-26,7.77401872908281,6.314319367171355,4.363712299908501,5.1899057996411635,3.654321507938502
2023-01-27,7.6211825300513345,6.237851743609081,4.322794164784591,5.142493381161067,3.650833385744483
2023-01-30,7.802642280948283,6.352888337546583,4.404134057360916,5.206760606943863,3.689897820573221
2023-01-31,8.080722275243302,6.44054463966209,4.451280184783233,5.20455319266496,3.694802415483833
2023-02-01,8.364122265246287,6.553298719573688,4.490526777772721,5.222947801379517,3.6667085802915156
2023-02-02,8.181938697818802,6.485065781408017,4.452822508188558,5.172395226492569,3.645538889963992
2023-02-03,8.059270917694164,6.400585929299611,4.413182671345169,5.1539441857711354,3.656740681121256
2023-02-06,8.197367892595784,6.475840123722682,4.444304063280108,5.206241434578458,3.655872488392185
2023-02-07,8.096729101205653,6.40441624309663,4.408452370014956,5.176211427127045,3.6320539027144085
2023-02-08,8.041914519399642,6.345210231749655,4.357208127710175,5.130207179678782,3.6044666461722583
2023-02-09,7.945940113156978,6.321026301443284,4.379948173660783,5.191018317080241,3.653661592873374
2023-02-10,8.084833018441966,6.403106377121422,4.4311698974568925,5.22490806204307,3.668681231335966
2023-02-13,8.19145729333076,6.414316391046374,4.4148751486291,5.193764754624738,3.636797963576986
2023-02-14,8.361030326227613,6.470301103600962,4.431979771505154,5.205759346644619,3.6446828342637425
2023-02-15,8.184981607653707,6.39376057330484,4.392866401675925,5.1608902471679,3.626856299252615
2023-02-16,8.066469172768537,6.361186085728256,4.383183681579932,5.154402993326163,3.6614221817351855
2023-02-17,7.810264097760121,6.199548226236837,4.276505686411657,5.070663600609374,3.63288906704763
2023-02-21,7.827710102106915,6.183572682864183,4.2755808780526445,5.05115526216016,3.628268607350395
2023-02-22,7.887745778335366,6.209375598879222,4.3115911042432895,5.068139551327716,3.621799973390739
2023-02-23,7.731617959795235,6.137171360148127,4.295288705728177,5.04759255686498,3.6008557504870815
2023-02-24,7.780408403540322,6.153798800224736,4.295724067690359,5.045795838289075,3.5879851207275135
2023-02-27,7.813692815822946,6.161729331754849,4.282748820423778,5.021279981215392,3.5525302332046524
2023-02-28,7.804070301426589,6.15122752990963,4.277704561076864,5.018218096677802,3.5293361686209
2023-03-01,7.876884533452255,6.214453397020566,4.304151458294923,5.05707033959119,3.5539089602294704
2023-03-02,8.03875414162587,6.309866903845043,4.365884053962991,5.113116975961101,3.5761074317575234
2023-03-03,7.962831097910523,6.275259619179952,4.3437791014932445,5.110852101688105,3.5767425495968244
2023-03-06,7.866676193453141,6.170107416108375,4.260794149047604,5.03166957152953,3.528690244017219
2023-03-07,7.932704861315355,6.195093604256706,4.270828152055639,5.026892716186719,3.5260073431251038
2023-03-08,7.701788431344329,6.05119726872489,4.1807436923893775,4.938989492750984,3.4821757747940323
2023-03-09,7.467696495832982,5.909955614884792,4.084028457467962,4.838045969655461,3.4502838786693526
2023-03-10,7.43485598065399,5.823045373266611,4.014364058742139,4.80489883804196,3.4660708363794597
2023-03-13,7.576383703688667,5.926036948595453,4.066783566822107,4.859142101908511,3.4960622108967003
2023-03-14,7.482807126326858,5.79378286206408,3.986604697486354,4.771404633915501,3.5006119590409246
2023-03-15,7.674901872003719,5.890839030010418,4.044698791362846,4.821800075071088,3.520973687715134
2023-03-16,7.564016859658156,5.786529231392282,3.967284710765934,4.7360720307512905,3.4741187798467443
2023-03-17,7.605574452772517,5.870094250140251,4.025218260677663,4.820139764328975,3.5216387314392277
2023-03-20,7.831688523098986,5.972799678622561,4.090030846620029,4.86573362627587,3.5130489233299804
2023-03-21,7.650869788594455,5.836806490715479,3.986674951496096,4.764612215618221,3.457372740538296
