,IC
2016-06-17,-0.4064655540408827
2016-06-20,0.04765412516229875
2016-06-21,0.13789218695131747
2016-06-22,-0.6055288522217741
2016-06-23,0.7111822684041906
2016-06-24,0.7576226431935579
2016-06-27,-0.4619986223531085
2016-06-28,-0.49902045539647066
2016-06-29,0.11985534353451843
2016-06-30,-0.03334269889064413
2016-07-01,0.7218695176724187
2016-07-05,-0.25325022973822564
2016-07-06,-0.48381810260784897
2016-07-07,-0.5568284743645964
2016-07-08,-0.3960047051792886
2016-07-11,-0.6985634937174738
2016-07-12,0.35004368088652826
2016-07-13,-0.4149599689105204
2016-07-14,-0.09152027289967028
2016-07-15,-0.29326871797142545
2016-07-18,0.3444674185075565
2016-07-19,-0.4312251098543502
2016-07-20,0.2440017224120609
2016-07-21,0.05395450446136709
2016-07-22,-0.027441150263990157
2016-07-25,-0.47785629346385233
2016-07-26,-0.2226742622203402
2016-07-27,0.17587807584885196
2016-07-28,0.18176493458664153
2016-07-29,0.26586464372931656
2016-08-01,0.19065422165279033
2016-08-02,-0.5211908021849271
2016-08-03,-0.0022444680826001627
2016-08-04,-0.5234650656245631
2016-08-05,-0.1923515758841486
2016-08-08,0.1294782950096074
2016-08-09,0.4035601179933088
2016-08-10,-0.40609166821892845
2016-08-11,0.20906308282630665
2016-08-12,-0.6105586404204607
2016-08-15,-0.21084502536477348
2016-08-16,0.21235911816033495
2016-08-17,-0.03313965726385007
2016-08-18,-0.21901572854948914
2016-08-19,0.22807340221284372
2016-08-22,-0.4423902954562379
2016-08-23,0.2964919887070522
2016-08-24,-0.08723932676654049
2016-08-25,-0.3797446698827761
2016-08-26,0.10568359376195668
2016-08-29,-0.33763944912772137
2016-08-30,0.32934706505171363
2016-08-31,0.020246095194711683
2016-09-01,0.09265461127465391
2016-09-02,0.23529259567990762
2016-09-06,-0.18967858611869146
2016-09-07,-0.15521119686832535
2016-09-08,0.01720208762365913
2016-09-09,-0.09363766137498522
2016-09-12,0.20406005007114733
2016-09-13,0.03311913962711632
2016-09-14,-0.2302917254209316
2016-09-15,0.24477915499494438
2016-09-16,-0.0020443714074922514
2016-09-19,0.15972019266400111
2016-09-20,-0.1247342077350477
2016-09-21,-0.017798273418769748
2016-09-22,0.19967399453541884
2016-09-23,0.28182954733749965
2016-09-26,-0.29025027230583667
2016-09-27,-0.3733093072708127
2016-09-28,-0.054610146962412585
2016-09-29,-0.41411616292749964
2016-09-30,-0.2847266192739425
2016-10-03,-0.27764680023142224
2016-10-04,-0.502824665618287
2016-10-05,0.05766587389934613
2016-10-06,0.2978847151152492
2016-10-07,-0.03470189626910496
2016-10-10,0.34153142455880287
2016-10-11,0.35796292286321163
2016-10-12,0.4757505061657025
2016-10-13,-0.12324430419810072
2016-10-14,0.18523758250453107
2016-10-17,-0.23805943902277887
2016-10-18,-0.4054979552645455
2016-10-19,-0.1628119226072011
2016-10-20,-0.017335498774244038
2016-10-21,-0.08729190779047392
2016-10-24,0.2832290195029408
2016-10-25,-0.15690768807663952
2016-10-26,-0.12028406322432966
2016-10-27,0.2041934989043364
2016-10-28,0.21800347134006398
2016-10-31,-0.16725709587155038
2016-11-01,0.29477173812684404
2016-11-02,0.0006358172570169445
2016-11-03,-0.15961944180989507
2016-11-04,-0.3776261333838842
2016-11-07,0.19913967257226722
2016-11-08,-0.3520532687807556
2016-11-09,-0.2797770596771883
2016-11-10,-0.06293372381781491
2016-11-11,-0.22282871532379844
2016-11-14,-0.08547836889778791
2016-11-15,0.20580706688183126
2016-11-16,-0.23644954734539025
2016-11-17,-0.049065439926717004
2016-11-18,-0.12415817126141183
2016-11-21,0.16772296139566176
2016-11-22,-0.3089016733249508
2016-11-23,0.281109566115395
2016-11-25,0.5036073108899423
2016-11-28,0.22161154127795496
2016-11-29,-0.4436527723833821
2016-11-30,-0.01906358362014587
2016-12-01,0.16920212736605145
2016-12-02,-0.3115964999683297
2016-12-05,-0.22636455493065938
2016-12-06,-0.14043719906871371
2016-12-07,-0.1991514171393803
2016-12-08,0.30079941890606354
2016-12-09,0.4639189370635205
2016-12-12,0.06686390635028258
2016-12-13,-0.09852882466501531
2016-12-14,-0.1718395295677706
2016-12-15,0.42692617546059675
2016-12-16,0.13116610687208852
2016-12-19,-0.2522568305848331
2016-12-20,-0.0682302883841104
2016-12-21,0.2883389592232873
2016-12-22,-0.19384672050339197
2016-12-23,-0.30146637607588694
2016-12-27,0.46766847136643236
2016-12-28,0.47574838646763407
2016-12-29,0.09348730751363027
2016-12-30,-0.4132557952182913
2017-01-03,-0.2680373483762921
2017-01-04,0.2625687217410756
2017-01-05,-0.0616116207451394
2017-01-06,-0.11572712426595572
2017-01-09,-0.2707250808715343
2017-01-10,-0.1902018175018944
2017-01-11,0.35455685689193595
2017-01-12,-0.27587045645955094
2017-01-13,0.47280817074307163
2017-01-17,-0.22281375038419948
2017-01-18,-0.05245674286209673
2017-01-19,-0.053184767321121484
2017-01-20,0.06144900362337058
2017-01-23,-0.46084910178249155
2017-01-24,-0.4164308619191602
2017-01-25,0.12336374087677275
2017-01-26,-0.018234082884799756
2017-01-27,0.36125856377693677
2017-01-30,0.26717611460759766
2017-01-31,-0.3664273047767134
2017-02-01,0.2947991902655624
2017-02-02,-0.3405436597840324
2017-02-03,0.007237126053851687
2017-02-06,0.18350108293043424
2017-02-07,0.26978614495471664
2017-02-08,-0.29301483812261275
2017-02-09,-0.03995415744310662
2017-02-10,-0.20578802734326218
2017-02-13,-0.20450099707133898
2017-02-14,-0.19158255929491072
2017-02-15,0.4252562606856854
2017-02-16,0.1358399456383191
2017-02-17,-0.008838748370119762
2017-02-21,0.20444397023186497
2017-02-22,0.37204975727075645
2017-02-23,0.3371335436862716
2017-02-24,-0.39982832589396416
2017-02-27,0.3328720829964758
2017-02-28,-0.5481297460518302
2017-03-01,0.416303651830465
2017-03-02,-0.23552062540602023
2017-03-03,0.10208486649320957
2017-03-06,0.13456867716192222
2017-03-07,-0.18885557939581624
2017-03-08,0.07613503151944363
2017-03-09,-0.03845561682376763
2017-03-10,-0.10157529453139294
2017-03-13,0.31270065644375644
2017-03-14,-0.05581893567960587
2017-03-15,-0.2346597602254066
2017-03-16,0.2684896756083753
2017-03-17,0.004645497783085521
2017-03-20,0.6851056490998584
2017-03-21,-0.07959979037243249
2017-03-22,-0.16356183669356356
2017-03-23,0.07030199267239426
2017-03-24,-0.03723259938898555
2017-03-27,-0.4176793685016889
2017-03-28,-0.0962961813663504
2017-03-29,-0.3140434707951378
2017-03-30,0.09693040528358754
2017-03-31,0.27945170001646413
2017-04-03,0.08552573297351784
2017-04-04,0.38836409041779957
2017-04-05,-0.44973674807007
2017-04-06,0.052196631309961064
2017-04-07,0.17841849764653314
2017-04-10,0.08600660320491184
2017-04-11,0.5700045806822551
2017-04-12,0.34959883275106407
2017-04-13,-0.29803363897041535
2017-04-17,0.22639790110075064
2017-04-18,-0.17168962524217743
2017-04-19,-0.43989523885567483
2017-04-20,0.3016435929505384
2017-04-21,-0.4885616162460925
2017-04-24,-0.2479524507157003
2017-04-25,-0.14666663285072443
2017-04-26,-0.02665130225751748
2017-04-27,0.15245560903128808
2017-04-28,-0.29668209283188557
2017-05-01,0.07231916970190427
2017-05-02,-0.05451398938377266
2017-05-03,0.12431613459901777
2017-05-04,-0.04448294829567437
2017-05-05,0.00832715569309848
2017-05-08,-0.18743443359242157
2017-05-09,-0.08293853145039327
2017-05-10,0.22276619683482315
2017-05-11,0.24828537102480716
2017-05-12,-0.3942703351067548
2017-05-15,-0.39658012599573145
2017-05-16,0.6597716047670108
2017-05-17,0.047433565200063456
2017-05-18,-0.3509589669730254
2017-05-19,-0.03973818743944022
2017-05-22,0.032350463242489205
2017-05-23,0.15002061781847653
2017-05-24,0.1354171195152578
2017-05-25,-0.037098577933437064
2017-05-26,0.169948175521257
2017-05-30,0.28394920017912123
2017-05-31,-0.24484873801649612
2017-06-01,0.12994238349144632
2017-06-02,0.054376232816653235
2017-06-05,-0.02132002732534678
2017-06-06,0.07923806568462416
2017-06-07,-0.5325338430007543
2017-06-08,-0.021429157525159313
2017-06-09,0.04946125755623327
2017-06-12,-0.23933681198401233
2017-06-13,0.3898810969515564
2017-06-14,0.234969140123403
2017-06-15,-0.05321102258776609
2017-06-16,-0.3539530208923781
2017-06-19,0.3416838917031817
2017-06-20,0.022049064425741203
2017-06-21,-0.16475745104369757
2017-06-22,-0.19394480811560924
2017-06-23,0.09163188984989638
2017-06-26,0.026271588111315393
2017-06-27,-0.5263873684122818
2017-06-28,0.03520473210874523
2017-06-29,-0.10322565822590003
2017-06-30,-0.08360991896223494
2017-07-03,-0.23691810348245884
2017-07-05,0.06874787493990757
2017-07-06,-0.32513362547454283
2017-07-07,-0.3611633852592098
2017-07-10,-0.17007683711741622
2017-07-11,-0.05401597740266026
2017-07-12,-0.0901607078747877
2017-07-13,0.005653188604115742
2017-07-14,0.14464474098677052
2017-07-17,0.15978784090481288
2017-07-18,-0.2511380361432178
2017-07-19,0.2138210635426062
2017-07-20,0.23419240988558138
2017-07-21,-0.25468474023305926
2017-07-24,-0.14992517357714835
2017-07-25,0.19374039747871286
2017-07-26,0.21982153714985667
2017-07-27,0.09129614878012858
2017-07-28,0.14608183006761097
2017-07-31,-0.021861114569808323
