,IC
2013-07-18,0.029138314333495632
2013-07-19,0.09886757278399116
2013-07-22,-0.1528366786876425
2013-07-23,0.1794183942896215
2013-07-24,-0.014510075877997127
2013-07-25,-0.09226103506863971
2013-07-26,-0.12563724070536794
2013-07-29,0.08718067269231677
2013-07-30,0.20748532612239076
2013-07-31,0.28167560883553205
2013-08-01,0.01256967688704629
2013-08-02,0.05816999090959065
2013-08-05,-0.048187323679143766
2013-08-06,-0.16529366587594554
2013-08-07,0.12382966503038051
2013-08-08,0.002952674315949837
2013-08-09,-0.006129244937367667
2013-08-12,0.20366862666291097
2013-08-13,-0.0795762763624334
2013-08-14,-0.1689019309414894
2013-08-15,0.3734005868028227
2013-08-16,-0.021915709791968465
2013-08-19,0.060118998256229676
2013-08-20,0.012298308289504968
2013-08-21,0.1485849756363926
2013-08-22,-0.2575565618732354
2013-08-23,0.12289125835716347
2013-08-26,-0.33689723046617115
2013-08-27,0.21236854261363497
2013-08-28,0.27528724343012523
2013-08-29,-0.21896941663622418
2013-08-30,0.4294574940461706
2013-09-03,0.10576508607572989
2013-09-04,0.26390787413850914
2013-09-05,-0.24676972088080973
2013-09-06,-0.039047536989967956
2013-09-09,0.2523505156014687
2013-09-10,0.02634876356718131
2013-09-11,0.010967693027452199
2013-09-12,0.006644246798130448
2013-09-13,0.03674714447995957
2013-09-16,0.04994322761922297
2013-09-17,-0.31095640962168347
2013-09-18,0.07660507391186626
2013-09-19,0.15896907691435924
2013-09-20,-0.11526918303631677
2013-09-23,0.17145597606859417
2013-09-24,0.07705899916167719
2013-09-25,0.15731693428681695
2013-09-26,0.09389401609280605
2013-09-27,0.1755838540429356
2013-09-30,0.08530905698559099
2013-10-01,-0.10711722973941663
2013-10-02,0.10937672842248461
2013-10-03,0.34172374860328186
2013-10-04,-0.3147255480506503
2013-10-07,-0.2801287905334038
2013-10-08,-0.1338861186432205
2013-10-09,0.32921382927937054
2013-10-10,0.09470622585073005
2013-10-11,0.24915842298614846
2013-10-14,0.009132046335480856
2013-10-15,0.08003502843576824
2013-10-16,-0.09745736206994042
2013-10-17,0.24000965178186578
2013-10-18,0.0003182758947484539
2013-10-21,-0.1783795974494489
2013-10-22,-0.19324688286986877
2013-10-23,0.12319827172701983
2013-10-24,-0.1547139547324278
2013-10-25,-0.1559059449156907
2013-10-28,0.1787143399471977
2013-10-29,-0.05312215647404534
2013-10-30,0.18931772240368064
2013-10-31,-0.0010572408194497963
2013-11-01,0.09729641207974436
2013-11-04,0.24745758994117284
2013-11-05,-0.3385539213616932
2013-11-06,-0.2578399168713415
2013-11-07,0.44173463358199794
2013-11-08,0.08998542771104133
2013-11-11,0.0796650924759829
2013-11-12,0.23212659621052828
2013-11-13,-0.052897230152076875
2013-11-14,-0.0653397706191394
2013-11-15,-0.17759668438372775
2013-11-18,0.0025353741452299387
2013-11-19,0.25605333434805194
2013-11-20,0.3157190623990629
2013-11-21,0.21596037677441948
2013-11-22,0.059712341793942005
2013-11-25,0.2504959911471343
2013-11-26,0.027971830472327226
2013-11-27,0.05183468778821347
2013-11-29,0.17019341163734453
2013-12-02,-0.2103012092697084
2013-12-03,-0.07895208391700784
2013-12-04,-0.010147674736849585
2013-12-05,0.05908842105335661
2013-12-06,-0.08098109589943701
2013-12-09,0.12308866195625609
2013-12-10,-0.10278232394673342
2013-12-11,0.22751302748890306
2013-12-12,0.12334292802441602
2013-12-13,0.09372755747968003
2013-12-16,-0.048771574689721826
2013-12-17,0.024240496545617555
2013-12-18,0.013837055703016627
2013-12-19,0.09181965326541348
2013-12-20,-0.01918230926197601
2013-12-23,-0.08507978269123571
2013-12-24,0.19962708769764978
2013-12-26,-0.37052428527439163
2013-12-27,-0.10633317905752004
2013-12-30,0.21123737380244012
2013-12-31,-0.006114070756631684
2014-01-02,0.11548215612536827
2014-01-03,-0.0695012349545805
2014-01-06,0.07231719431844075
2014-01-07,0.24360331068850208
2014-01-08,0.024231604362299024
2014-01-09,-0.14255158126955178
2014-01-10,-0.2755945399858195
2014-01-13,0.2871562637667082
2014-01-14,-0.024221829305802026
